Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Menu and other services,,,,2023-08-14 15:14:39,2023-08-14 15:17:42,3m - 2.914s,FAILED
,,,,,,,
Test Cases/User Managemenet/Login,,,,2023-08-14 15:14:40,2023-08-14 15:15:26,46.857s,PASSED
"startApplication(APK, false)",,,,2023-08-14 15:14:41,2023-08-14 15:15:13,31.687s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - username""), LoginCreds.get(""username""), 30)",,,,2023-08-14 15:15:13,2023-08-14 15:15:16,3.513s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - password""), LoginCreds.get(""password""), 30)",,,,2023-08-14 15:15:16,2023-08-14 15:15:17,1.296s,PASSED
"tap(findTestObject(""User Management/Login/android.view.ViewGroup - sign in""), 30)",,,,2023-08-14 15:15:17,2023-08-14 15:15:18,0.824s,PASSED
"tap(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Katalon""), 30)",,,,2023-08-14 15:15:18,2023-08-14 15:15:20,1.941s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-08-14 15:15:20,2023-08-14 15:15:22,2.142s,PASSED
"verifyElementExist(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Patient Directory""), 30)",,,,2023-08-14 15:15:22,2023-08-14 15:15:26,4.187s,PASSED
,,,,,,,
Test Cases/Menu and other services/Switch between sites,,,,2023-08-14 15:15:26,2023-08-14 15:15:52,25.412s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-08-14 15:15:28,2023-08-14 15:15:29,0.989s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-08-14 15:15:29,2023-08-14 15:15:30,1.895s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Test1""), 30)",,,,2023-08-14 15:15:30,2023-08-14 15:15:31,0.990s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-08-14 15:15:31,2023-08-14 15:15:39,7.237s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-08-14 15:15:39,2023-08-14 15:15:41,2.034s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - site user""), 30)",,,,2023-08-14 15:15:41,2023-08-14 15:15:42,0.914s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-08-14 15:15:42,2023-08-14 15:15:49,7.369s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-08-14 15:15:49,2023-08-14 15:15:51,1.946s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Katalon""), 30)",,,,2023-08-14 15:15:51,2023-08-14 15:15:52,0.906s,PASSED
,,,,,,,
Test Cases/Menu and other services/About,,,,2023-08-14 15:15:52,2023-08-14 15:16:08,16.355s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/About/android.widget.ImageView - Menu""), 30)",,,,2023-08-14 15:15:53,2023-08-14 15:16:00,6.905s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - About""), 30)",,,,2023-08-14 15:16:00,2023-08-14 15:16:02,2.192s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - Katalon""), ""Katalon"")",,,,2023-08-14 15:16:02,2023-08-14 15:16:03,1.312s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - Katalon (1)""), ""Katalon"")",,,,2023-08-14 15:16:03,2023-08-14 15:16:04,0.428s,PASSED
"scrollToText(""UDI"")",,,,2023-08-14 15:16:04,2023-08-14 15:16:07,3.582s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - 2.1""), ""2.1"")",,,,2023-08-14 15:16:07,2023-08-14 15:16:08,0.475s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/About/android.widget.ImageView - close""), 30)",,,,2023-08-14 15:16:08,2023-08-14 15:16:08,0.372s,PASSED
,,,,,,,
Test Cases/Menu and other services/Automatic adjustment of Date format,,,,2023-08-14 15:16:45,2023-08-14 15:16:46,0.385s,FAILED
"date = getText(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.TextView - 27072023""), 30, STOP_ON_FAILURE)",,,,2023-08-14 15:16:45,2023-08-14 15:16:46,0.348s,PASSED
"verifyMatch(date, ""[0-9]{2}/[0-9]{2}/[0-9]{4}"", true, STOP_ON_FAILURE)",,,,2023-08-14 15:16:46,2023-08-14 15:16:46,0.014s,FAILED
,,,,,,,
Test Cases/Menu and other services/Phone general tuto,,,,2023-08-14 15:16:46,2023-08-14 15:16:54,8.374s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.ImageView - Menu""), 30)",,,,2023-08-14 15:16:47,2023-08-14 15:16:47,0.389s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.TextView - Help""), 30)",,,,2023-08-14 15:16:47,2023-08-14 15:16:49,1.694s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.TextView - App Intro""), 30)",,,,2023-08-14 15:16:49,2023-08-14 15:16:50,0.900s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.view.ViewGroup - Tuto""), 30)",,,,2023-08-14 15:16:50,2023-08-14 15:16:51,1.676s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.TextView - Welcome to inSight""), 30)",,,,2023-08-14 15:16:51,2023-08-14 15:16:52,0.312s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.TextView - Skip""), 30)",,,,2023-08-14 15:16:52,2023-08-14 15:16:52,0.294s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.TextView - next""), 30)",,,,2023-08-14 15:16:52,2023-08-14 15:16:52,0.342s,PASSED
"tap(findTestObject(""Menu and other services/Phone General Tuto/android.widget.TextView - next""), 30)",,,,2023-08-14 15:16:52,2023-08-14 15:16:53,0.405s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.TextView - Add a wound""), ""Add a wound"")",,,,2023-08-14 15:16:53,2023-08-14 15:16:54,0.937s,PASSED
"tap(findTestObject(""Menu and other services/Phone General Tuto/android.widget.TextView - Skip""), 30)",,,,2023-08-14 15:16:54,2023-08-14 15:16:54,0.435s,PASSED
,,,,,,,
Test Cases/Menu and other services/Language,,,,2023-08-14 15:16:54,2023-08-14 15:17:19,25.185s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.ImageView - Menu""), 30)",,,,2023-08-14 15:16:55,2023-08-14 15:16:55,0.370s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Settings""), 30)",,,,2023-08-14 15:16:55,2023-08-14 15:16:57,1.718s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - English""), 30)",,,,2023-08-14 15:16:57,2023-08-14 15:16:59,1.763s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Deutsch""), 30)",,,,2023-08-14 15:16:59,2023-08-14 15:17:00,0.894s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.view.ViewGroup""), 30)",,,,2023-08-14 15:17:00,2023-08-14 15:17:07,7.068s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Geschlecht""), ""Geschlecht"")",,,,2023-08-14 15:17:07,2023-08-14 15:17:10,3.081s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Geburtstag""), ""Geburtstag"")",,,,2023-08-14 15:17:10,2023-08-14 15:17:10,0.424s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Alter""), ""Alter"")",,,,2023-08-14 15:17:10,2023-08-14 15:17:11,0.466s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Zustimmung""), ""Zustimmung"")",,,,2023-08-14 15:17:11,2023-08-14 15:17:11,0.399s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.ImageView - Back""), 30)",,,,2023-08-14 15:17:11,2023-08-14 15:17:12,0.398s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.ImageView - Menu (1)""), 30)",,,,2023-08-14 15:17:12,2023-08-14 15:17:12,0.844s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Seite""), ""Seite"")",,,,2023-08-14 15:17:12,2023-08-14 15:17:14,1.679s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Offene Telegesundheit""), ""Offene Telegesundheit"")",,,,2023-08-14 15:17:14,2023-08-14 15:17:15,0.425s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Hilfe""), ""Hilfe"")",,,,2023-08-14 15:17:15,2023-08-14 15:17:15,0.419s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - ber uns""), ""Ãœber uns"")",,,,2023-08-14 15:17:15,2023-08-14 15:17:15,0.429s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Einstellungen""), ""Einstellungen"")",,,,2023-08-14 15:17:15,2023-08-14 15:17:16,0.364s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Ausloggen""), ""Ausloggen"")",,,,2023-08-14 15:17:16,2023-08-14 15:17:16,0.351s,PASSED
"tap(findTestObject(""Menu and other services/Language/android.widget.TextView - Einstellungen""), 30)",,,,2023-08-14 15:17:16,2023-08-14 15:17:16,0.399s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Deutsch (1)""), 30)",,,,2023-08-14 15:17:16,2023-08-14 15:17:18,1.748s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - English (1)""), 30)",,,,2023-08-14 15:17:18,2023-08-14 15:17:19,0.916s,PASSED
,,,,,,,
Test Cases/Menu and other services/Help,,,,2023-08-14 15:17:19,2023-08-14 15:17:42,22.556s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Help/android.widget.ImageView - Menu""), 30)",,,,2023-08-14 15:17:20,2023-08-14 15:17:26,5.886s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Help""), 30)",,,,2023-08-14 15:17:26,2023-08-14 15:17:28,1.683s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Help Center""), 30)",,,,2023-08-14 15:17:28,2023-08-14 15:17:29,0.908s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Support""), ""Support"")",,,,2023-08-14 15:17:29,2023-08-14 15:17:30,0.909s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Critical Notifications""), ""Critical Notifications"")",,,,2023-08-14 15:17:30,2023-08-14 15:17:31,1.907s,PASSED
pressBack(),,,,2023-08-14 15:17:31,2023-08-14 15:17:32,0.842s,PASSED
"tap(findTestObject(""Menu and other services/Help/android.widget.TextView - Help""), 30)",,,,2023-08-14 15:17:32,2023-08-14 15:17:33,0.757s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Send device info""), 30)",,,,2023-08-14 15:17:33,2023-08-14 15:17:34,0.880s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Device hardware and software information will be sent to eKare for troubleshooting""), ""Device hardware and software information will be sent to eKare for troubleshooting"")",,,,2023-08-14 15:17:34,2023-08-14 15:17:35,0.831s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Menu and other services/Help/android.widget.Button - CANCEL""), 30)",,,,2023-08-14 15:17:35,2023-08-14 15:17:35,0.303s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Menu and other services/Help/android.widget.Button - PROCEED""), 30)",,,,2023-08-14 15:17:35,2023-08-14 15:17:35,0.260s,PASSED
"tap(findTestObject(""Menu and other services/Help/android.widget.Button - PROCEED""), 30)",,,,2023-08-14 15:17:35,2023-08-14 15:17:36,0.352s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Information sent successfully""), ""Information sent successfully"")",,,,2023-08-14 15:17:36,2023-08-14 15:17:38,2.075s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Help/android.widget.Button - OK""), 30)",,,,2023-08-14 15:17:38,2023-08-14 15:17:38,0.357s,PASSED
"tap(findTestObject(""Menu and other services/Help/android.widget.ImageView - Menu""), 30)",,,,2023-08-14 15:17:38,2023-08-14 15:17:39,0.722s,PASSED
"tap(findTestObject(""Menu and other services/Help/android.widget.TextView - Help""), 30)",,,,2023-08-14 15:17:39,2023-08-14 15:17:41,1.659s,PASSED
"verifyElementExist(findTestObject(""Menu and other services/Help/android.widget.TextView - Send back up""), 30)",,,,2023-08-14 15:17:41,2023-08-14 15:17:41,0.765s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Send back up""), 30)",,,,2023-08-14 15:17:41,2023-08-14 15:17:42,0.417s,PASSED
